#bar  tdiff_offset[ns]  sync_offset[ns]  vscint[cm/ns] 
1     1.30427     -0.775788     8.99195
2     -0.839801     -0.462396     8.40432
3     -0.614064     -0.690542     8.51523
4     -1.51793     0.238154     9.54697
5     -1.93257     0.244467     10.3622
6     1.00735     0.263771     8.49607
7     1.12095     -0.815646     8.24114
8     2.64341     -1.50781     8.23841
9     -1.54065     0.318824     8.3666
10     -0.249231     -0.0692922     9.33023
11     2.11034     0.431481     8.91526
12     -3.21268     -0.74995     9.90498
13     -4.01539     -0.972913     8.92028
14     -2.59389     -1.33884     8.16656
15     1.34322     0.107069     8.44902
16     -1.34499     -1.65011     8.82377
17     0.101806     0.263031     9.27836
18     -3.61495     0.842371     14.4648
19     -1.94502     -0.696813     9.64078
20     3.1664     -0.567496     9.50217
21     0.632965     -0.711808     8.21088
22     -2.29398     -0.942596     7.54703
23     -10.0704     2.68397     7.97814
24     -7.94162     1.26561     7.70993
25     -8.02054     2.67272     7.91841
26     -7.66015     2.10889     8.01608
27     -7.23297     3.0532     7.88341
28     -10.0101     1.67476     8.12034
29     -11.1502     2.90493     7.40619
30     -6.90118     3.39997     7.48809
31     -9.56964     2.3987     7.66026
32     -6.56493     3.53356     7.57119
33     -9.9769     1.65422     7.45281
34     -9.56387     3.47851     7.37882
35     -8.41326     2.49477     7.58156
36     -4.9262     1.62041     7.32579
37     -5.42357     0.972179     7.52876
38     -7.86906     2.77889     7.33809
39     -1.81455     -1.45523     8.54217
40     0.147995     -1.58443     11.1316
41     1.11652     0.0737121     7.73508
42     0.794296     -0.408813     7.6045
43     -1.4492     -0.630784     7.5496
44     0.686823     -0.966421     7.64097
45     0.812969     0.378406     7.99831
46     0.393717     -0.154372     7.58044
47     -2.38322     -1.64315     7.3142
48     1.08139     -2.70393     7.85835
49     -2.35484     0.812783     7.6252
50     -1.468     0     8.00373
51     -0.533634     -0.184608     7.95328
52     -1.9179     -0.96634     7.5846
53     -0.910646     -1.74137     7.41027
54     -0.522339     -0.759894     7.94057
55     -3.94069     -1.12563     7.88632
56     -1.87682     -1.75739     7.58636
57     -1.20217     -0.269877     7.67591
58     -0.322057     -0.616628     7.83786
59     0.630386     -0.998021     7.68511
60     1.05655     -0.602601     7.3698
61     0.751825     0.301546     7.52675
62     -1.66028     1.21838     7.45212
63     -5.06623     3.9894     7.52053
64     -8.20049     4.52467     7.40598
65     -7.21491     3.81892     7.42202
66     -9.76147     3.56334     7.59608
67     -5.86152     4.01342     7.98154
68     -9.31954     4.37256     7.6341
69     -9.33621     0.24926     7.45594
70     -7.27733     -0.997202     8.11591
71     -9.40401     -0.857707     7.87068
72     -5.66862     0.18332     7.69005
73     -7.61257     -1.27609     7.58625
74     -8.56112     -0.00541313     7.85626
75     -6.84213     0.35102     7.44128
76     -7.19561     -1.12298     7.82917
77     -6.93265     2.97988     7.63192
78     -8.10223     1.79633     7.89434
79     0.241749     -1.98362     8.44433
80     -1.2844     -2.10514     8.41239
81     0.642913     -9.76341     8.56648
82     4.34853     -9.97516     8.55325
83     -1.55386     -10.5667     8.6253
84     -3.43024     -10.4566     8.5467
85     3.16715     -10.5937     8.74769
86     0.5547     -10.2754     8.58986
87     -1.79775     -9.59335     8.80258
88     -0.466368     -11.0714     8.75614
89     -2.14722     -9.02618     9.71353
90     0.257933     -10.4068     9.24371
91     -2.11921     -11.2633     8.93912
92     2.41554     -8.84273     8.49519
93     -1.53907     -9.81604     8.63814
94     -1.60902     -10.2569     8.43523
95     -2.39794     -9.13496     8.30662
96     0.727066     -11.7269     8.66557
97     1.78543     -10.3687     8.75862
98     -2.81915     -10.6496     8.79816
99     -1.735     -11.0974     9.29077
100     -0.801009     -10.7108     8.08079
